id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
166,Soto De Ribera,Hard Coal,Steam Turbine,PP,Spain,322.677934797111,,1962.0,,2021.0,43.3116,-5.8732,,0.0,0.0,0.0,{'18WSRI3-12345-0N'},"{'BEYONDCOAL': {'BEYOND-ES-23'}, 'ENTSOE': {'18WSRI3-12345-0N'}, 'GEM': {'G100000109544', 'G100000109543', 'G100000109542'}, 'GPD': {'WRI1007944'}, 'GEO': {'GEO-43674'}}"
167,Lada,Hard Coal,Steam Turbine,PP,Spain,330.0534304496164,,1951.0,2007.0,2021.0,43.2964,-5.6825,,0.0,0.0,0.0,{'18WLAD4-12345-0U'},"{'BEYONDCOAL': {'BEYOND-ES-18'}, 'ENTSOE': {'18WLAD4-12345-0U'}, 'GEM': {'G100000106088', 'G100000106087', 'G100000112612'}, 'GPD': {'WRI1006408'}, 'GEO': {'GEO-43832'}}"
168,Litoral,Hard Coal,Steam Turbine,PP,Spain,1068.524932656719,,1984.0,,2021.0,36.9802,-1.9037,,0.0,0.0,0.0,"{'18WLIT2-12345-00', '18WLIT1-12345-0A'}","{'BEYONDCOAL': {'BEYOND-ES-10'}, 'ENTSOE': {'18WLIT2-12345-00', '18WLIT1-12345-0A'}, 'GEM': {'G100000106343', 'G100000106342'}, 'GPD': {'WRI1006625'}, 'GEO': {'GEO-43821'}}"
169,Los Barrios,Hard Coal,Steam Turbine,PP,Spain,543.0208674157096,,1985.0,,,36.1837,-5.4184,,0.0,0.0,0.0,{'18WBRR1-12345-0H'},"{'BEYONDCOAL': {'BEYOND-ES-20'}, 'ENTSOE': {'18WBRR1-12345-0H'}, 'GEM': {'G100000106424'}, 'GPD': {'WRI1006636'}, 'GEO': {'GEO-43679'}}"
170,Narcea,Hard Coal,Steam Turbine,PP,Spain,501.7,,1965.0,,2020.0,43.292,-6.3947,,0.0,0.0,0.0,"{'18WNRC2-12345-0G', '18WNRC3-12345-06'}","{'BEYONDCOAL': {'BEYOND-ES-31'}, 'ENTSOE': {'18WNRC2-12345-0G', '18WNRC3-12345-06'}, 'GEM': {'G100000107284', 'G100000107285', 'G100000107283'}, 'GPD': {'WRI1006702'}, 'GEO': {'GEO-43831'}}"
175,Meirama,Hard Coal,Steam Turbine,PP,Spain,557.2,,1980.0,,2020.0,43.1702,-8.4106,,0.0,0.0,0.0,{'18WMEI1-12345-0I'},"{'BEYONDCOAL': {'BEYOND-ES-22'}, 'ENTSOE': {'18WMEI1-12345-0I'}, 'GEM': {'G100000106804'}, 'GPD': {'WRI1006671'}, 'GEO': {'GEO-43830'}}"
183,La Robla,Hard Coal,Steam Turbine,PP,Spain,619.0,,1971.0,2009.0,2020.0,42.7946,-5.6314,,0.0,0.0,0.0,"{'18WROB2-12345-0B', '18WROB1-12345-0L'}","{'BEYONDCOAL': {'BEYOND-ES-19'}, 'ENTSOE': {'18WROB2-12345-0B', '18WROB1-12345-0L'}, 'GEM': {'G100000106075', 'G100000106076'}, 'GPD': {'WRI1006593'}, 'GEO': {'GEO-43835'}}"
184,Anllares,Hard Coal,Steam Turbine,PP,Spain,346.8,,1982.0,,2018.0,42.8386,-6.5312,,0.0,0.0,0.0,{'18WALL1-12345-0K'},"{'BEYONDCOAL': {'BEYOND-ES-25'}, 'ENTSOE': {'18WALL1-12345-0K'}, 'GEM': {'G100000100250'}, 'GPD': {'WRI1006197'}, 'GEO': {'GEO-43677'}}"
185,Abono,Hard Coal,Steam Turbine,PP,Spain,844.4942522118677,,1974.0,2005.0,2025.0,43.5527,-5.7235,,0.0,0.0,0.0,"{'18WABO1-12345-0X', '18WABO2-12345-0N'}","{'BEYONDCOAL': {'BEYOND-ES-11'}, 'ENTSOE': {'18WABO1-12345-0X', '18WABO2-12345-0N'}, 'GEM': {'G100000100015', 'G100000100014'}, 'GPD': {'WRI1006157'}, 'GEO': {'GEO-43673'}}"
188,Puente Nuevo,Lignite,Steam Turbine,PP,Spain,299.7,,1966.0,,2020.0,38.1129,-4.9334,,0.0,0.0,0.0,{'18WPNN3-12345-0I'},"{'BEYONDCOAL': {'BEYOND-ES-16'}, 'ENTSOE': {'18WPNN3-12345-0I'}, 'GEM': {'G100000108202'}, 'GPD': {'WRI1007820'}, 'GEO': {'GEO-43834'}}"
282,Teruel Andorra,Lignite,Steam Turbine,PP,Spain,1055.7,,1979.0,,2020.0,40.9971,-0.3806,,0.0,0.0,0.0,"{'18WTER3-12345-0U', '18WTER2-12345-03', '18WTER1-12345-0D'}","{'BEYONDCOAL': {'BEYOND-ES-6'}, 'ENTSOE': {'18WTER3-12345-0U', '18WTER2-12345-03', '18WTER1-12345-0D'}, 'GEM': {'G100000110027', 'G100000110028', 'G100000110029'}, 'GPD': {'WRI1023654'}, 'GEO': {'GEO-43820'}}"
367,Trillo,Nuclear,Steam Turbine,PP,Spain,1003.4,,1988.0,,2035.0,40.7016,-2.6227,,0.0,0.0,0.0,{'18WTRL1-12345-0Y'},"{'ENTSOE': {'18WTRL1-12345-0Y'}, 'GEM': {'G100000500202'}, 'WIKIPEDIA': {'WIKIPEDIA-171'}, 'GPD': {'WRI1007993'}, 'GEO': {'GEO-43404'}}"
368,Cofrentes,Nuclear,Steam Turbine,PP,Spain,1063.9,,1985.0,,2033.0,39.2134,-1.0509,,0.0,0.0,0.0,{'18WCOF1-12345-0O'},"{'ENTSOE': {'18WCOF1-12345-0O'}, 'GEM': {'G100000500149'}, 'WIKIPEDIA': {'WIKIPEDIA-168'}, 'GPD': {'WRI1006359'}, 'GEO': {'GEO-2715'}}"
