Participante;EIC
ATURAGUA;18XASTURAGUASICF
ENERGYA VM GESTION DE ENERGÍA, S.L.U;18XCENTE-1234-3T
CENTRICA ENERGY TRADING A/S;11XNEAS--------Q
DXT COMMODITIES SA;12X-0000001848-D
EDF TRADING LTD;11XEDFTRADING--G
EHN GREEN ENERGY DEVELOPMENT;18XEGED-12345-16
ELEKTRIZITATS-GESELLSHAFT;18XEGLE-12345-1U
ENCE ENERGÍA, S.L.;18X000000000F0ZC
GRUPO ENDESA GENERACION;18XENDG-12345-0G
ELECTROROUTE ENERGY TRADING LD;23X----110718ERI
GAZPROM MARKETING & TRADING LI;11XGAZPROM-MT--Y
GAS NATURAL COMERCIALIZADORA;18XGNCO-12345-3Q
GENERA ENERGIA Y TECNOLOGIA;18XGNRA-12345-15
GDF SUEZ TRADING;17X100A100R0128W
GUNVOR;12X-0000001807-W
IBERDROLA GENERACION;11XIBERDROLA-013
IBERDROLA GENERACION ESPAÑA;18XIBGES-12345-4
J.ARON & COMPANY;11XJARON-------M
MERCURIA ENERGY TRADING SA;12XMETSA-------C
NIDHOG APS;45X0000000000537
NOBLE CLEAN FUELS LIMITED;11XNOBLE-------F
POWERMART APS;23X-POWERMART--8
SECOND FOUNDATION ENERGY A.S.;27X-SF-ENERGY--T
SHELL ENERGY;18XSHEEN-1234-6L
STATKRAFT MARKETS GMBH;11XSTATKRAFT001N
SSE ENERGY SUPPLY LIMITED;23X--140207-SSE9
TOTAL GAS;11XTOTAL-------8
TRAILSTONE RENEWABLES GMBH;11X0-0000-0518-U
VITOL SA;23XVITOLSA-----3
