Nombre;Codigo de sujeto;Codigo EIC;Tipo de SM
1;JOIN;18X0000000001RQ5;Consumidor directo mercado
18X000000000CICG;VIEPR;18X000000000CICG;Productor
18XATAL-12345-1E;ATAL;18XATAL-12345-1E;Productor
18XBURGE-1234--I;BURGE;18XBURGE-1234--I;Productor
18XMIRAS-12345-9;MIRAS;18XMIRAS-12345-9;Productor
18XNEOSC-12345-4;NEOSC;18XNEOSC-12345-4;Productor
18XPAPELECKERSAC;PECKE;18XPAPELECKERSAC;Productor
18XPEUSA-12345-4;PEUSA;18XPEUSA-12345-4;Productor
18XTIRCA-12345-N;TIRCA;18XTIRCA-12345-N;Productor
3D SMART ENERGY SL;DSMAR;18X000000000LHZB;Comercializador
A2J ENERGIA, S.L.;AJENE;18X000000000P83C;Comercializador
AB ENERGIA 1903;ABESL;18XABESL-12345-G;Comercializador
ABASTE COMERCIALIZADORA;ABAST;18X000000000FUA9;Comercializador
ABOÑO GENERACIONES ELECTRICAS, S.L.U.;ABOGE;18X000000000P4PH;Productor
ABOUT WHITE SL;ABOUT;18XABOUT-1234--H;Comercializador
ACAPERSA 1997 SL;ACAPE;18X000000000M3AP;Consumidor directo mercado
ACENHOL ENERGIA SOCIEDAD LIMITADA;ACENH;18X000000000M8D4;Comercializador
ACENORCA;ACENO;18XACENORCASCL-S;Consumidor directo mercado
ACSOL ENERGIA GLOBAL;ACSOL;18X00000000019VC;Comercializador
ACTIVA ENERGIA;ACTIV;18X000000000G865;Comercializador
ADEINNOVA ENERGIA S.L;ADEIN;18XADEIN-12345-0;Comercializador
ADELFAS ENERGIA SL;ADELF;18XADELF-12345-5;Comercializador
ADS ENERGIA;ADSEN;18X000000000J8I6;Comercializador
ADS ENERGY 8.0 SL;ADSSM;18XADSSM-12345-E;Comercializador
ADURIZ ENERGIA;ADUR;18XADURI-12345-1;Comercializador
ADX RENOVABLES SL;ADXRA;18X000000000P0RP;Comercializador
AE3000 AGENT COMERCIALIZADOR S;AGENT;18XAE3000AGENTC1;Productor
AED ENERGÍA ELÉCTRICA, S.L.;AEDEN;18X000000000O0IA;Comercializador
AEQ W2M;AEQ;18X000000000PE5R;Comercializador
AGENTE DEL MERCADO ELECTRICO;AME;18XAME-123456-14;Comercializador
