Codigo de UF;Codigo EIC;Descripcion;Potencia maxima MW;Tipo de produccion;Vinculacion con SM;Vinculacion con UP
3PINOS;18W0000000004ZX6;3PINOS - VELA;6;Solar fotovoltaica;GNRA;UPBLAN
3VILLAS;18W3VILLAS-123-5;PARQUE EÓLICO TRES VILLAS;49,5;Eolica terrestre;CEG;EUW3VIL
4CAM1;18W000000000RO29;CUATROCAMINOS1;6,2;Solar fotovoltaica;ADXRE;FAUDAX
4CAM2;18W000000000RO37;CUATROCAMINOS2;6,2;Solar fotovoltaica;ADXRE;FAUDAX
4CAM3;18W000000000RO45;CUATROCAMINOS4;3,7;Solar fotovoltaica;ADXRE;FAUDAX
4CAM4;18W000000000RO53;CUATROCAM4;3,7;Solar fotovoltaica;ADXRE;FAUDAX
98D-481;18W98D-481-123-M;TORRAS PAPEL-MONTAÑESA;23,6;Gas Natural Cogeneracion;NEXU;TTFTPZG
98FUTUR;18W98FUTUR-123-W;UF 98FUTUR;1,5;Solar fotovoltaica;EFG;FGEFG
ABA1;18WABA1-12345-AJ;ABARAN 1;0,3;Hidraulica UGH;BARER;ABA1
ABA2;18WABA2-12345-A9;ABARAN 2;0,4;Hidraulica UGH;BARER;ABA2
ABADC;18W000000000N8TJ;ABADIÑO COMPRA;6,8;Almacenamiento compra;IBGES;AFIBGEC
ABADV;18W000000000N8UH;BATERIAS ABADIÑO;6;Almacenamiento venta;IBGES;AFIBGEV
ABARA;18WABARA-12345-Z;P.E E. ABARA;6;Eolica terrestre;EGED;EABARA
ABASC01;18W000000000JLUV;UP COMPRA ABASTE;1;Comercializadores mercado libre;ABAST;ABASC01
ABELLA;18W000000000FFGJ;18W000000000FFGJ;15;Eolica terrestre;EGLE;EINVER
ABENOJA;18W000000000R5QI;ABENOJAR;5;Solar fotovoltaica;NEXU;FABENOJ
ABNIX;18W000000000SJFV;ABNIX;1,8;Solar fotovoltaica;GNRA;FVGNRA
ABO1;18WABO1-12345-D7;ABOÑO  (G.1);341,7;Hulla antracita;ABOGE;ABO1
ABO2;18WABO2-12345-DY;ABOÑO  (G.2);561,8;Gas Natural;ABOGE;ABO2G
ABOUC01;18W-ABOUC01-3--H;ABOUT WHITE, S.L.;0,1;Comercializadores mercado libre;ABOUT;ABOUC01
ABOX;18W000000000T21W;COMPRA SSAA ABOÑO;30;Consumo de Servicios Auxiliares;ABOGE;ABOX
AC86BA;18W000000000OT8V;AC86BA;1;Comercializadores mercado libre;FORTI;FORTR01
ACAMP;18WACAMP-12345-C;P.E. CAMPO ARIAS;48;Eolica terrestre;HC G;HCGSIHA
ACAMPOH;18WACAMPOH-123-1;P.E. ACAMPO HOSPITAL;6;Eolica terrestre;ECYR;EEGPEM
ACAPC01;18W000000000MPRD;ACAPC01;0,8;Consumos directos en mercado;ACAPE;ACAPC01
ACASIL1;18WPEALCASILL1-U;P.E. ALTO CASILLAS I;30;Eolica terrestre;ECYR;EEGPES
ACASIL2;18WPEALCASILL2-R;P.E. ALTO CASILLAS II;30;Eolica terrestre;ECYR;EEGPES
ACC1;18WACC1-12345-AM;ACECA HIDRAULICA G1;0,1;Hidraulica UGH;IBEG;TAJO
ACC2;18WACC2-12345-AC;ACECA HIDRAULICA G2;0,4;Hidraulica UGH;IBEG;TAJO
ACC3;18WACC3-12345-A2;ACECA HIDRAULICA G3;0,2;Hidraulica UGH;IBEG;TAJO
ACE3;18WACE3-12345-CD;C. C. GT ACECA3;386;Ciclo Combinado;IBGT;ACE3
ACE4;18WACE4-12345-C3;ACECA4;372,6;Ciclo Combinado;GNCC;ACE4
ACEBO;18WACEBO-1234-E1;P.E. SIERRA DEL ACEBO;17,8;Eolica terrestre;HC G;HCGSCSA
ACEGUAD;18WACEGUAD-123-1;ACEITERA GUADALQUIVIR;8,2;Gas Natural Cogeneracion;GNRA;TLARODA
ACENC01;18W-ACENC01-7--5;ACENORCA;0,9;Consumos directos en mercado;ACENO;ACENC01
ACHEC01;18W-ACHEC01-4--V;CHERA;1,4;Comercializadores mercado libre;ACHER;ACHEC01
ACIBERO;18W000000000RXGS;ACIBEROS;33,6;Eolica terrestre;WMARK;EACIBER
ACINF;18W000000000JJFU;ACINF;8;Solar fotovoltaica;GNRA;UPEJO
ACNHC01;18W000000000OGAT;UP COMPRA;0;Comercializadores mercado libre;ACENH;ACNHC01
ACR1;18WACR1-12345-A5;ACERA DE LA VEGA 1;4,7;Hidraulica UGH;IBEG;DUER
ACR2;18WACR2-12345-AW;ACERA DE LA VEGA 2;4,7;Hidraulica UGH;IBEG;DUER
ACSOC01;18W0000000003SEW;ACSOL ENERGIA GLOBAL;0,1;Comercializadores mercado libre;ACSOL;ACSOC01
ACTIC01;18W000000000GPZL;ACTIVA UPROG COMER 1;100;Comercializadores mercado libre;ACTIV;ACTIC01
ACUADRA;18WACUADRA-12-EG;P. E. ALABE CUADRAMÓN;18,7;Eolica terrestre;EGED;EFEGEL2
ACUAVIR;18WACUAVIR-123-A;C.H. PRESA DEL ARENOSO;12,5;Hidraulica no UGH;IGNIS;HACUAVI
ADAFW;18W000000000QZ69;ADAFW;1;Solar fotovoltaica;GNRA;FVGNRA
ADEIC01;18W-ADEIC01-6--6;ADEINNOVA ENERGIA S.L;0,5;Comercializadores mercado libre;ADEIN;ADEIC01
ADEIV01;18W000000000S4OL;FYNEXU;0,2;Solar fotovoltaica;ADEIN;ADEIV01
ADELC01;18W-ADELC01-4--O;ADELFAS;4;Comercializadores mercado libre;ADELF;ADELC01
ADFIN;18W000000000FAE1;ADFIN;6,1;Solar fotovoltaica;GNRA;FUEPA
ADRANO;18WADRANO-123-ER;P.E. DE ADRAÑO;21,6;Eolica terrestre;EGED;EADRAG
ADSEC01;18W-ADSEC01-5--H;ADSEC01;16;Comercializadores mercado libre;ADSSM;ADSEC01
ADSNC01;18W000000000JZUQ;ADS SOLUTIONS;1;Comercializadores mercado libre;ADSEN;ADSNC01
ADURC01;18W-ADURC01-7--K;ADURC01;0;Comercializadores mercado libre;ADUR;ADURC01
ADXC01;18W000000000Q063;ADX RENOVABLES;0,1;Comercializadores mercado libre;ADXRA;ADXC01
AEDEC01;18W000000000OWY7;AED ENERGIA;0,1;Comercializadores mercado libre;AEDEN;AEDEC01
