Códigos de Modelos de Transformadores,,,
SAVOISIENNE,,,
Código,Modelo,Tipo,Tecnología
TSAV1,MBH250/5,Tensión,Capacitivo
SCHLUMBERGER,,,
Código,Modelo,Tipo,Tecnología
"TSCH2
TSCH1
TSCH3
TSCH4
ISCH1
ISCH5
ISCH2
ISCH3
ISCH4","E12-MC
E17-DG
E24BHA
E24BLX
I-17AQ
J24-BX
J24BD
J24BM
J36BT","Tensión
Tensión
Tensión
Tensión
Intensidad
Intensidad
Intensidad
Intensidad
Intensidad","Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo"
"SIEMENS, S.A.",,,
Código,Modelo,Tipo,Tecnología
"TI00001
TI00007
TT00020
TT00001
TT00013
TT00002
TT00003
TT00004
TT00005
TT00007
TT00009
TT00006
TT00008
TT00010
TT00011
TT00012
TI00002","4MC4
4MD12
4MR12
4MT2
4MT26
4MT32
4MT34
4MT7
4MU12
4MU14
4MU16
4MU22
4MU24
4MU26
4MU3
4MU4
AMT 72.5/3","Intensidad
Intensidad
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Intensidad","Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo"
,,,
27 agosto 2025 18 de 20,,,
