Códigos de Provincias
"Código Código Numérico Descripción
VI 01 Alava
AB 02 Albacete
A 03 Alicante
AL 04 Almería
O 33 Asturias
AV 05 Avila
BA 06 Badajoz
PM 07 Baleares
B 08 Barcelona
BU 09 Burgos
CC 10 Cáceres
CA 11 Cádiz
S 39 Cantabria
CS 12 Castellón
CE 51 Ceuta
CR 13 Ciudad Real
CO 14 Córdoba
CU 16 Cuenca
GI 17 Gerona
GR 18 Granada
GU 19 Guadalajara
SS 20 Guipúzcoa
H 21 Huelva
HU 22 Huesca
J 23 Jaen
C 15 La Coruña
LO 26 La Rioja
GC 35 Las Palmas
LE 24 León
L 25 Lérida
LU 27 Lugo
M 28 Madrid"
26 agosto 2025 1 de 2
