Códigos de Concentradores Secundarios
"Código Descripción
130 ACCIONA GENERACIÓN RENOVABLE S.A.
65 AS DIVERSIF, S.L.U.
60 ASEME SERVICIOS, S.L.
160 CEPSA GAS Y ELECTRICIDAD, S.A.U.
100 CIDE
73 COMERCIALIZADORA REGULADA GAS & POWER, S.A
190 CONSULTORIA, GESTIÓN Y PROCESO DE DATOS, S.L.
54 CURENERGÍA COMERCIALIZADOR DE ULTIMO RECURSO, S.A.U.
31 E-DISTRIBUCIÓN REDES DIGITALES, S.L.U.
20 EDP ESPAÑA, S.A
32 ENDESA ENERGÍA, S.A.U.
30 ENDESA GENERACION, S.A.
140 ENERGY BY COGEN, S.L.U.
450 ENI PLENITUDE IBERIA, S.L.U
440 EOSA ENERGIA S.L.
70 GAS NATURAL COMERCIALIZADORA, S.A.
80 GESTION DE ENERGIA Y MERCADOS, S.L.
420 GNERA ENERGÍA Y TECNOLOGÍA S.L.
21 HIDROCANTÁBRICO DISTRIBUCIÓN ELÉCTRICA, S.A.
51 I-DE REDES ELÉCTRICAS INTELIGENTES, S.A.
52 IBERDROLA CLIENTES, S. A.
50 IBERDROLA ENERGÍA ESPAÑA, S. A
74 NATURGY IBERIA, S.A.
122 NEXUS CONNECT
0644 REGSITI COMERCIALIZADORA REGULADA, S..L.U
92 REPSOL COMERCIALIZADORA DE ELECTRICIDAD Y GAS, S.L.U
90 REPSOL GENERACIÓN ELÉCTRICA, S.A.
150 RESPIRA ENERGIA MEDITERRANIA, S.A.
180 SHELL ENERGY EUROPE LIMITED (*)
22 TOTALENERGIES MERCADO ESPAÑA SA
170 UNIÓN DE DISTRIBUIDORES DE ELECTRICIDAD, S.A. (UDESA)
41 UNION FENOSA DISTRIBUCIÓN, S.A"
26 agosto 2025 1 de 2
