Códigos de Modelos de Contadores,,,,,,
ELSTER,,,,,,
Código,Modelo,N.Hilos,Registrador,Medida,Precisión Activa,Precisión Reactiva
ELS1,AMC 1410 1C D1,4,N,Absoluto,"0,2S","0,5"
INDRA,,,,,,
Código,Modelo,N.Hilos,Registrador,Medida,Precisión Activa,Precisión Reactiva
IND1,RC6000,4,S,Absoluto,1,2
ISKRA EMECO,,,,,,
Código,Modelo,N.Hilos,Registrador,Medida,Precisión Activa,Precisión Reactiva
"IEM1
IEM2","COMBITAX-MT851
MEDITAX-TE340A22","4
4","N
N","Absoluto
Absoluto","0,5S
0,2S","1
0,5"
ISKRA-METREGA,,,,,,
Código,Modelo,N.Hilos,Registrador,Medida,Precisión Activa,Precisión Reactiva
"ISK2
ISK1","MT830
TE340","4
4","S
N","Absoluto
Absoluto","1
0,2S","2
0,5"
ITRON,,,,,,
Código,Modelo,N.Hilos,Registrador,Medida,Precisión Activa,Precisión Reactiva
"ITR6
ITR13
ITR7
ITR8
ITR9
ITR10
ITR11
ITR12
ITR1
ITR2
ITR3
ITR4","ACE6000
ACE662
ACE8000
SL760-2A
SL760-2B
SL760-2C
SL760-2D
SL760-2E
SL762A
SL762B
SL762C
SL762D","4
4
4
4
4
4
4
4
4
4
4
4","S
S
S
S
S
S
S
S
S
S
S
S","Absoluto
Absoluto
Absoluto
Absoluto
Absoluto
Absoluto
Absoluto
Absoluto
Absoluto
Absoluto
Absoluto
Absoluto","B
C
0,2S
0,2S
C
B
B
B
0,2S
0,5S
1
1","2
1
0,5
0,5
1
2
2
2
0,5
1
2
2"
,,,,,,
27 agosto 2025 2 de 4,,,,,,
