Códigos de Modelos de Registradores,,,,
SCHLUMBERGER,,,,
Código,Modelo,Firma electrónica,Gps,Profundidad
SCH10,QUANTUM Q1000,S,N,10000
SIS./ELECTROMATIC,,,,
Código,Modelo,Firma electrónica,Gps,Profundidad
SIS1,RC500,S,N,4000
ZIV,,,,
Código,Modelo,Firma electrónica,Gps,Profundidad
"ZIV1
ZIV2
ZIV3
ZIV6
ZIV7","5CTE
5CTD
5CTR
5CTD-E*B
5CTE-E*E","S
S
S
S
S","S
N
S
S
S","4000
4000
4000
4000
4000"
"En caso de que el equipo a codificar no se encuentre en este informe, por favor envíe un correo electrónico a la dirección
simelos@ree.es con asunto: Alta de nuevo modelo de registrador e indicando los
siguientes datos del nuevo modelo:
- Fabricante registrador
- Profundidad
- Descripción modelo
- Gps
- Firma electrónica
- Copia de Resolución de autorización de uso emitido por autoridad competente",,,,
27 agosto 2025 4 de 4,,,,
