bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,geometry,index_right,source,id,name
ES1-400,400,f,Substation,f,ES1,-7.478963550093904,43.7020276396567,ES,POINT (-7.478963550093904 43.7020276396567),29.0,https://simplemaps.com,ESLU,Lugo
ES10-220,220,f,Substation,f,ES10,-3.849633099999998,43.3445405893267,ES,POINT (-3.849633099999998 43.3445405893267),44.0,https://simplemaps.com,ESS,Cantabria
ES100-220,220,f,Substation,f,ES100,1.3446848999999976,42.31889588845269,ES,POINT (1.3446848999999976 42.31889588845269),11.0,https://simplemaps.com,ESL,Lérida
ES101-220,220,f,Substation,f,ES101,-8.138019599999994,42.30096278843702,ES,POINT (-8.138019599999994 42.30096278843702),25.0,https://simplemaps.com,ESOR,Orense
ES102-220,220,f,Substation,f,ES102,-8.080452199999987,42.28809258842574,ES,POINT (-8.080452199999987 42.28809258842574),25.0,https://simplemaps.com,ESOR,Orense
ES103-220,220,f,Substation,f,ES103,-7.227225091778386,42.283844542595375,ES,POINT (-7.227225091778386 42.283844542595375),25.0,https://simplemaps.com,ESOR,Orense
ES103-400,400,f,Substation,f,ES103,-7.227028036007776,42.28407405462945,ES,POINT (-7.227028036007776 42.28407405462945),25.0,https://simplemaps.com,ESOR,Orense
ES104-220,220,f,Substation,f,ES104,-8.130686499999996,42.275800788415,ES,POINT (-8.130686499999996 42.275800788415),25.0,https://simplemaps.com,ESOR,Orense
ES105-220,220,f,Substation,f,ES105,-8.599921399999994,42.2721374884118,ES,POINT (-8.599921399999994 42.2721374884118),27.0,https://simplemaps.com,ESPO,Pontevedra
ES106-220,220,f,Substation,f,ES106,-8.07359259999999,42.27212538841179,ES,POINT (-8.07359259999999 42.27212538841179),25.0,https://simplemaps.com,ESOR,Orense
ES107-220,220,f,Substation,f,ES107,-8.6210824,42.26519278840569,ES,POINT (-8.6210824 42.26519278840569),27.0,https://simplemaps.com,ESPO,Pontevedra
ES108-220,220,f,Substation,f,ES108,0.95844102950735,42.25652921866705,ES,POINT (0.9584410295073499 42.25652921866705),11.0,https://simplemaps.com,ESL,Lérida
ES109-220,220,f,Substation,f,ES109,-8.4342632,42.24680468838959,ES,POINT (-8.4342632 42.24680468838959),27.0,https://simplemaps.com,ESPO,Pontevedra
ES11-220,220,f,Substation,f,ES11,-4.0800909000000045,43.340407889323295,ES,POINT (-4.0800909000000045 43.340407889323295),44.0,https://simplemaps.com,ESS,Cantabria
ES110-220,220,f,Substation,f,ES110,-8.694434931595314,42.24326204220272,ES,POINT (-8.694434931595314 42.24326204220272),27.0,https://simplemaps.com,ESPO,Pontevedra
ES113-220,220,f,Substation,f,ES113,-8.586378799999999,42.18915938833895,ES,POINT (-8.586378799999999 42.18915938833895),27.0,https://simplemaps.com,ESPO,Pontevedra
ES114-400,400,f,Substation,f,ES114,-1.6936090709670204,42.17777439980363,ES,POINT (-1.6936090709670204 42.17777439980363),7.0,https://simplemaps.com,ESLO,La Rioja
ES116-220,220,f,Substation,f,ES116,-1.668904299999985,42.161629888314735,ES,POINT (-1.668904299999985 42.161629888314735),2.0,https://simplemaps.com,ESNA,Navarra
